ID,Status,base_setup,base_question,flip_question,flip_change,pic_base,pic_flip,indoor_outdoor,id,gpt_I0q0_json,gpt_I0q1_json,gpt_I1q0_json,gpt_I1q1_json
LD-08,Done,Room dark.,Is the protein powder label text clearly readable in this photo?,Is the label unreadable in this photo (too dark/low contrast)?,move portable lamp to light the map,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1099.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1100.jpeg,indoor,LD-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
LD-09,Done,Protein powder containers on shelf in dim lighting,Is the protein powder label text clearly readable in this photo?,Is the protein powder label text unreadable in this photo (too dark)?,Improve lighting so the protein powder label text is readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0661.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0662.jpeg,indoor,LD-09,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-10,Done,Far or glare makes text unclear.,Is the restaurant sign text clearly readable in this photo?,Is the restaurant sign text unreadable in this photo?,Move closer so the restaurant sign text is clearly readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1119.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1120.jpeg,indoor,LD-10,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-11,Done,Mirror selfie in dark.,Is the person’s face clearly visible in this photo?,Is the person’s face not clearly visible in this photo?,Turn light on,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1109.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1110.jpeg,indoor,LD-11,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-12,Done,Very dark room.,Is the text on the paper clearly readable in this photo?,Is the text on the paper unreadable in this photo?,Increase brightness,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1128.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1129.jpeg,indoor,LD-12,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-13,Done,Person holding phone; screen content not visible from distance,Is the phone screen content clearly visible in this photo?,Is the phone screen content not visible in this photo (too far or washed out)?,Move closer to the phone screen so the content is clearly readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0416.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0417.jpeg,outdoor,LD-13,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
MA-01,Done,Gesture unclear.,Are they clearly greeting each other (clear greeting gesture)?,Are they clearly not greeting each other (no greeting happening)?,Capture them both with clear smiles directed at each other,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0847.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0850.jpeg,indoor,MA-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
MA-02,Done,Arms hidden; intention unclear.,Are they clearly hugging each other?,Are they clearly not hugging each other?,Capture clear hugging posture with arms around each other,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0859.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0853.jpeg,indoor,MA-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
MA-03,Done,Motion ambiguous.,Is she clearly giving him the cup (handing it over)?,Is she clearly not giving him the cup?,Capture moment where person A is clearly extending the cup toward person B's hand,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0864.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0874.jpeg,indoor,MA-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
MA-04,Done,Posture ambiguous.,Is she clearly helping him carry the chair?,Is she clearly not helping him carry the chair?,Capture both people visibly holding the chair together from each side,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0877.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0879.jpeg,indoor,MA-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
MA-05,Done,Gaze unclear.,Is he clearly looking at her phone?,Is he clearly not looking at her phone?,Capture person B leaning in with eyes obviously aimed at the phone screen,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0883.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0886.jpeg,indoor,MA-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
MA-06,Done,Gaze misaligned.,Is he clearly looking at what she is pointing to?,Is he clearly not looking at what she is pointing to?,Capture person B with head and eyes clearly aligned toward the pointed-at object,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0888.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0893.jpeg,indoor,MA-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.8}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
MA-07,Done,Card not shown.,Is the gift card value clearly visible in this photo?,Is the gift card value not visible in this photo?,show corner with money value visible,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0280.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0281.jpeg,indoor,MA-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-01,Done,iPad locked; no hint visible.,Is the device unlock PIN visible anywhere in this photo?,Is there no visible clue to the device unlock PIN in this photo?,place a small sticky note next to the phone with the 4-digit PIN clearly written so it is readable in the frame,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0947.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0948.jpeg,indoor,NV-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-02,Done,Drive only visible.,Are the files on the drive visible anywhere in this photo (screen/label/list)?,Are the drive contents not visible anywhere in this photo?,show nearby screen with file list,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0278.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0279.jpeg,indoor,NV-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-03,Done,No note shown.,Is the wifi password visible anywhere in this photo (written or on a screen)?,Is the wifi password not visible anywhere in this photo?,add note with password,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0289.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0290.jpeg,indoor,NV-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-04,Done,Bottle unlabelled.,Is the drink flavour visible in this photo (label/menu/text)?,Is the drink flavour not visible in this photo?,place a visible label “Orange” on the cup,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0439.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0439 (1).jpeg,indoor,NV-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}"
NV-05,Done,Flavour not inferable.,Is the juice flavour visible in this photo (label/menu/text)?,Is the juice flavour not visible in this photo?,No flip; property itself is nonvisual.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0632.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0633.jpeg,indoor,NV-05,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}"
MA-08,Done,Two people seated; intent ambiguous,Is she clearly comforting her (placing a hand on her in a supportive gesture)?,Is she clearly not comforting her (no supportive gesture)?,Capture person A leaning in with arm around person B in a clear comforting embrace,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0860.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0861.jpeg,indoor,MA-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-07,Done,No visible indicators.,Is the outside temperature visible in this photo (display/app/sign)?,Is the outside temperature not visible anywhere in this photo?,Include a phone weather screen or digital temperature display in frame.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1117.JPG,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1118.JPG,outdoor,NV-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-08,Done,No track info visible.,Is the song title/track info visible in this photo (screen/now playing)?,Is the song title/track info not visible in this photo?,Flip by including the “Now Playing” screen (phone/Spotify/YouTube) showing the song title and artist.,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1107.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1108.jpeg,indoor,NV-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-09,Done,Resistance bands on mat with labels facing down,Is the resistance band strength label clearly readable in this photo?,Is the resistance band strength label unreadable in this photo?,Flip bands so the strength labels (Light/Medium/Heavy) are facing up and readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0943.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0944.jpeg,indoor,NV-09,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-10,Done,Gym locker without a lock,Is there a lock visible on the locker in this photo?,Is there no lock visible on the locker in this photo?,Add a combination lock to the locker,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0694.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0693.jpeg,indoor,NV-10,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
NV-11,Done,No lock shown.,Is the locker combination visible anywhere in this photo?,Is the locker combination not visible anywhere in this photo?,tape a clear paper label next to the lock with the full combination (for example “34-18-09”) written large enough to read in the image,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0945.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0946.jpeg,indoor,NV-11,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OC-01,Done,Hidden behind items.,Is the honey bottle clearly visible in this photo?,Is the honey bottle not visible in this photo?,slide box 10 cm so bottle peeks out,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0258.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0259.jpeg,indoor,OC-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-02,Done,Kitchen utensil drawer with items layered,Is the kitchen knife clearly visible in this photo?,Is the kitchen knife not visible in this photo (hidden under utensils)?,Rearrange utensils so the knife is clearly visible on top,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0275.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0276.jpeg,indoor,OC-02,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
OC-03,Done,Covered by papers.,Is the passport clearly visible in the drawer in this photo?,Is the passport not visible in the drawer in this photo?,move box to the side,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0272.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0273.jpeg,indoor,OC-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OC-04,Done,Bed with sheets and pillows covering items,Is the object under the covers clearly visible in this photo?,Is the object under the covers not visible in this photo?,Pull back covers to reveal the hidden object,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0260.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0262.jpeg,indoor,OC-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-05,Done,Closed box on table; contents unknown,Is the product inside the box clearly visible in this photo?,Is the product inside the box not visible in this photo (box closed)?,Open the box to reveal the product inside,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0282.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0283.jpeg,indoor,OC-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-06,Done,Arch partially obscured by trees or angle,Is the top of the arch clearly visible in this photo?,Is the top of the arch not visible in this photo (obscured)?,Change angle so the arch top is fully visible,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0391.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0392.jpeg,outdoor,OC-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-07,Done,Closed backpack on park bench,Is the content inside the backpack visible in this photo?,Is the content inside the backpack not visible (bag closed)?,Open the backpack to show its contents,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0414.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0415.jpeg,outdoor,OC-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-08,Done,Couch with cushions; device hidden between cushions,Is the remote clearly visible in this photo?,Is the remote not visible in this photo (hidden in cushions)?,Move cushion to reveal the remote/device,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0433.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0434.jpeg,indoor,OC-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
OC-09,Done,Electronics display behind glass in store,Is the product on the shelf clearly visible through the glass?,Is the product on the shelf not visible in this photo (glass reflects)?,Move closer so the products behind glass are clearly visible,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0627.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0628.jpeg,indoor,OC-09,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":1.0}"
OC-10,Done,Refrigerator with items partially occluded by bag,Is the almond milk container clearly visible in this photo?,Is the almond milk container not visible in this photo (hidden behind items)?,Move the obstructing items so the almond milk is visible,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0929.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0930.jpeg,indoor,OC-10,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OC-11,Done,Poster taped across plaque.,Is the room number clearly visible in this photo?,Is the room number not visible in this photo?,open the box to show object,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0268.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0269.jpeg,indoor,OC-11,"{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OC-12,Done,Bathroom medicine cabinet closed,Is the toothbrush clearly visible in this photo?,Is the toothbrush not visible in this photo (cabinet closed)?,Open the medicine cabinet to reveal the toothbrush,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0665.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0666.jpeg,indoor,OC-12,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OC-13,Done,Bag blocking microwave.,Is the food container clearly visible in the closet in this photo?,Is the food container not visible in the closet in this photo?,lift poster edge to reveal number,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0670.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0669.jpeg,indoor,OC-13,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""ABSTAIN"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.9}"
OC-14,Done,Kitchen counter with items blocking view of appliance,Is the microwave clearly visible in this photo?,Is the microwave not visible in this photo (blocked by items)?,Move the obstructing items to reveal the microwave,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1101.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1102.jpeg,indoor,OC-14,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-15,Done,Drawer cluttered; item hidden.,Is the laptop clearly visible inside the bag in this photo (bag open enough to see it)?,Is the laptop not visible inside the bag in this photo?,move bag ,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0678.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0679.jpeg,indoor,OC-15,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-16,Done,Zipped bag.,Is the resistance band clearly visible in this photo?,Is the resistance band not visible in this photo?,move coat away,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0680.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0681.jpeg,indoor,OC-16,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-17,Done,Shelf with keyboard and bag covering items underneath,Is the item under the keyboard clearly visible in this photo?,Is the item under the keyboard not visible in this photo (occluded)?,Move the keyboard to reveal what is underneath,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0939.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0940.jpeg,indoor,OC-17,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-18,Done,Closed backpack at outdoor table,Is the laptop inside the bag clearly visible in this photo?,Is the laptop inside the bag not visible (bag closed)?,Open the backpack to show the laptop inside,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0284.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0285.jpeg,indoor,OC-18,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
