id,Status,base_label,base_question,base_setup,category,flip_change,flip_label,hardness,indoor_outdoor,pic_base,pic_flip,gpt_output_base,gpt_output_flip,location,target,gpt_score
OC-15,Done,NOT_VISIBLE,Is the microwave visible?,"shared dorm kitchen, bag in front of microwave",OCCLUSION,move bag ,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0678.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0679.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",kitchen,microwave,
OC-16,Done,NOT_VISIBLE,Is the food container visible in the closet?,dorm closet with door open; food container behind hanging coats,OCCLUSION,move coat away,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0680.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0681.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",closet,food container,
NV-10,Done,NOT_VISIBLE,What is the locker combination,locker shown but no lock,INHERENTLY_NONVISUAL,add lock,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0694.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0693.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.99}","{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.99}",gym,locker combo,
AV-05,Not started,NOT_VISIBLE,Is the micro-print on the USB flash drive readable?,study desk; flash drive is plugged into the back of a laptop and its etched text is extremely small,AUGMENTED_VISION_REQUIRED,bring the camera close to the drive so the engraving is large enough,VISIBLE,medium,,,,,,,,
AV-06,Not started,NOT_VISIBLE,Is the headphone jack label readable?,bedside table; the “L/R” + model code printed next to the port is tiny and far from the camera,AUGMENTED_VISION_REQUIRED,move the camera close until the label occupies most of the frame,VISIBLE,medium,,,,,,,,
GD-11,Not started,NOT_VISIBLE,Is he looking at the subway map?,subway car; man stands by doors looking down at his phone; route map is overhead on the wall to his left,GAZE_DIRECTION,tilt his head and eyes up toward the route map while keeping everything else the same,,,,,,,,,,
GD-12,Not started,NOT_VISIBLE,Is she looking at her reflection in the mirror?,"dorm bathroom; student stands at the sink directly facing the mirror, eyes toward her reflection",GAZE_DIRECTION,rotate her body 90° so she faces the towel rack instead of the mirror,,,,,,,,,,
GD-13,Not started,NOT_VISIBLE,Is the student looking at the projector screen?,classroom; student in the back row has head turned to talk to a friend on his right; bright screen at the front,GAZE_DIRECTION,turn his head back toward the projector screen,,,,,,,,,,
GD-14,Not started,NOT_VISIBLE,Are both students looking at the same laptop screen?,"dorm study table; two students sit side by side, both leaning in toward the same open laptop",GAZE_DIRECTION,make one student turn their head down to look at their phone instead of the laptop,,,,,,,,,,
GD-15,Not started,NOT_VISIBLE,Is she looking at the coffee cup on the table?,campus café; student sits at a small table looking out the window; coffee cup is in front of her on the table,GAZE_DIRECTION,rotate her head and eyes down toward the cup while keeping her body position the same,,,,,,,,,,
GD-16,Not started,NOT_VISIBLE,Is he looking at the dryer display?,dorm laundry room; student stands close to a front-loading dryer with eyes on its digital display,GAZE_DIRECTION,turn him toward a friend at the folding table so his head faces away from the dryer,,,,,,,,,,
GD-17,Not started,NOT_VISIBLE,Is he looking at the EXIT sign?,subway mezzanine; commuter walks down stairs looking down at the steps; EXIT sign hangs ahead above the landing,GAZE_DIRECTION,raise his head so he looks straight at the EXIT sign,,,,,,,,,,
GD-18,Not started,NOT_VISIBLE,Is she looking at the book she’s reaching for?,university library aisle; student reaches toward a specific spine on the shelf with eyes focused on that book,GAZE_DIRECTION,keep her arm reaching but have her gaze down at her phone in the other hand instead,,,,,,,,,,
GD-19,Not started,NOT_VISIBLE,Is he looking at the dog on the path?,washington square park; man on bench looks down at his laptop; dog is trotting along the path in front of him,GAZE_DIRECTION,make him look up from the laptop toward the dog,,,,,,,,,,
GD-20,Not started,NOT_VISIBLE,Is the roommate looking at the phone in his hand?,"shared dorm room; roommate sits on bed holding a phone at chest height, eyes down at the screen",GAZE_DIRECTION,keep the phone position the same but have him look up toward the ceiling instead,,,,,,,,,,
IC-06,Not started,UNDETERMINABLE_FROM_EVIDENCE,Is her phone visible?,dorm coffee table covered with several similar phones and cases; question refers to “her phone” but none is marked,INSUFFICIENT_CONTEXT,add a small arrow or label next to her phone to indicate which one it is,,,,,,,,,,
IC-07,Not started,UNDETERMINABLE_FROM_EVIDENCE,Is his umbrella visible?,residence hall lobby with an umbrella stand full of umbrellas; person referred to is off-camera and none of the umbrellas is labeled,INSUFFICIENT_CONTEXT,put a name tag on his umbrella or add an arrow pointing to it,,,,,,,,,,
IC-08,Not started,UNDETERMINABLE_FROM_EVIDENCE,Is the reserved seat visible?,small classroom with many identical chairs; one is supposedly “reserved” but there is no visible marking,INSUFFICIENT_CONTEXT,place a clear “Reserved” sign on the seat or add an arrow pointing to the reserved chair,,,,,,,,,,
MA-01,Not started,VISIBLE,Can the friend standing behind him see the message on his laptop screen?,"dorm room; student sits at desk using laptop; friend stands just behind his right shoulder, both in frame",MULTI-AGENT / SECOND-ORDER,rotate laptop slightly toward the wall so the screen is no longer visible from the friend’s position,VISIBLE,,,,,,,,,
MA-02,Not started,NOT_VISIBLE,Can the person at the doorway see the roommate lying on the bed?,dorm room shot from side; tall wardrobe between open door and bed; roommate lying on bed fully blocked from doorway line of sight,MULTI-AGENT / SECOND-ORDER,slide wardrobe 30 cm back or reposition so the bed is clearly visible from the doorway,VISIBLE,,,,,,,,,
MA-03,Not started,UNDETERMINABLE_FROM_EVIDENCE,Can the man by the fountain see his friend standing partly behind the tree?,washington square park; man stands near fountain facing camera; his friend is partly covered by a nearby tree trunk at some distance behind,MULTI-AGENT / SECOND-ORDER,move the friend either fully into open space or fully behind the tree so it is clearly visible whether he is in the man’s line of sight,VISIBLE,,,,,,,,,
MA-04,Not started,NOT_VISIBLE,Can the student at the end of the hallway see the friend sitting around the corner?,L-shaped dorm hallway; camera near ceiling; student stands at far end of main corridor; friend sits on floor just out of view around the corner section,MULTI-AGENT / SECOND-ORDER,move the seated friend a few feet forward so they are in the same straight hallway and clearly visible from the standing student’s position,VISIBLE,,,,,,,,,
MA-05,Not started,VISIBLE,Can the student sitting opposite her see the answer she wrote on the paper?,"dorm study table; one student writes on paper; another student sits directly opposite, leaning in toward the page",MULTI-AGENT / SECOND-ORDER,place a standing textbook between them blocking the line of sight from the opposite student to the paper,VISIBLE,,,,,,,,,
MA-06,Not started,NOT_VISIBLE,Can the student folding clothes see inside the open washer drum?,dorm laundry room; open washer door faces away from folding table; student stands at table with back to the machines,MULTI-AGENT / SECOND-ORDER,reposition the student to the side so their face has a direct view into the open washer drum,VISIBLE,,,,,,,,,
MA-07,Not started,VISIBLE,Can the friend standing behind see the crosswalk countdown that the person in front is looking at?,nyc crosswalk; two friends in single file facing the intersection; raised traffic signal pole with countdown clearly above both of their heads,MULTI-AGENT / SECOND-ORDER,move the front friend or camera so the countdown display is blocked by their head from the point of view of the friend in back,VISIBLE,,,,,,,,,
AV-04,Queued,NOT_VISIBLE,Is the expiration date on the soda bottle readable?,dorm mini-fridge top; can is several feet away and the tiny expiry print is too small to resolve,AUGMENTED_VISION_REQUIRED,move the camera close enough that the date stamp fills the frame,VISIBLE,medium,,,,,,,,
GD-06,Queued,NOT_VISIBLE,is she looking at the laptop screen,,GAZE_DIRECTION,turn her head and eyes toward the laptop screen,VISIBLE,easy,indoor,,,,,dorm room desk,laptop screen,
GD-07,Queued,NOT_VISIBLE,is he looking at the lounge tv,,GAZE_DIRECTION,turn his head 60° away toward window,VISIBLE,easy,indoor,,,,,dorm lounge,TV,
GD-08,Queued,NOT_VISIBLE,is she looking at the equation on the whiteboard,,GAZE_DIRECTION,rotate body to face doorway instead,VISIBLE,medium,indoor,,,,,study lounge,whiteboard equation,
GD-09,Queued,NOT_VISIBLE,Is the mug visible to him?,Person looks left at phone; mug is to his right and slightly behind monitor,GAZE_DIRECTION,Turn head/eyes toward mug; keep scene identical,VISIBLE,hard,indoor,,,,,Dorm desk,mug,
GD-10,Queued,NOT_VISIBLE,is he looking at the open washer,subject chatting with friend to the right; open washer to his left,GAZE_DIRECTION,turn his head toward the washer,VISIBLE,medium,indoor,,,,,laundry room,washer drum,
IC-05,Queued,UNDETERMINABLE_FROM_EVIDENCE,Is the right mailbox visible,wall of boxes; unit unspecified,INSUFFICIENT_CONTEXT,add arrow + unit number,VISIBLE,easy,indoor,,,,,mailroom,target mailbox,
LD-08,Queued,NOT_VISIBLE,can you read the floor map,text is small and hallway lights are very dim,LIGHTING_DISTANCE,move portable lamp to light the map,VISIBLE,medium,indoor,,,,,hallway,floor map,
LD-10,Queued,NOT_VISIBLE,Is the laptop screen message readable?,Screen at minimum brightness with strong reflection of blinds,LIGHTING_DISTANCE,Increase brightness and change angle to kill reflection,VISIBLE,hard,indoor,,,,,Desk by window,phone screen,
LD-11,Queued,NOT_VISIBLE,is the seat’s number readable,seat placard in-frame but aisle lights off; text too dim,LIGHTING_DISTANCE,turn on aisle light to illuminate placard,VISIBLE,medium,indoor,,,,,lounge row,seat number placard,
LD-12,Queued,NOT_VISIBLE,Is the lecture slide text readable,projector glare washes text,LIGHTING_DISTANCE,change angle; move 2 m closer,VISIBLE,medium,indoor,,,,,classroom,slide text,
LD-13,Queued,NOT_VISIBLE,Is the apartment buzzer name readable,dim vestibule; tiny etched text,LIGHTING_DISTANCE,add phone light; move 1 m closer,VISIBLE,medium,indoor,,,,,apt entry,buzzer label,
NV-07,Queued,NOT_VISIBLE,What is the friend’s name,two friends at the pool table; no name tags or on-image text,INHERENTLY_NONVISUAL,"add a visible name tag on the friend’s shirt (e.g., “Alex”)",VISIBLE,hard,indoor,,,,,lounge,friend’s knowledge of gaze direction,
NV-08,Queued,NOT_VISIBLE,can you see the person’s name,student faces away; no name tag visible,INHERENTLY_NONVISUAL,add a clear visible name tag on chest,VISIBLE,easy,indoor,,,,,lounge,person's name,
NV-09,Queued,UNDETERMINABLE_FROM_EVIDENCE,What is inside the sealed envelope,envelope closed; no indicators,INHERENTLY_NONVISUAL,open envelope to show contents,VISIBLE,easy,indoor,,,,,dorm desk,envelope contents,
OC-10,Queued,NOT_VISIBLE,is the milk carton visible,opaque takeout bag blocks front shelf; fridge door open,OCCLUSION,move bag aside so carton front is clear,VISIBLE,medium,indoor,,,,,shared kitchen,fridge milk carton,
OC-11,Queued,NOT_VISIBLE,Is the price tag visible,tag behind stacked crates,OCCLUSION,remove top crate,VISIBLE,busy background text,outdoor,,,,,street stall,price tag,
OC-14,Queued,NOT_VISIBLE,Is the fire extinguisher visible?,dorm hallway; a door is propped fully open so it completely hides the fire-extinguisher cabinet from the camera,OCCLUSION,swing the door halfway closed so the cabinet is visible beside the door edge,VISIBLE,medium,,,,,,,,
OC-17,Queued,NOT_VISIBLE,Is the jump rope visible?,gym mat; a small hand towel lies on top of the jump rope completely hiding it,OCCLUSION,lift the towel off the rope,VISIBLE,medium,,,,,,,,
OC-18,Queued,NOT_VISIBLE,Is the chalk block visible?,gym floor; a single sheet of paper is placed directly over the chalk block,OCCLUSION,pick up the sheet of paper,VISIBLE,medium,,,,,,,,
OC-19,Queued,NOT_VISIBLE,Is the resistance band visible?,gym mat; a small shaker bottle is placed in front of the band masking it from the camera’s angle,OCCLUSION,move the shaker bottle a few centimeters,VISIBLE,medium,,,,,,,,
OC-20,Queued,NOT_VISIBLE,Is the wrist wrap visible?,gym bench surface; a folded microfiber cloth sits on top of the wrist wrap fully covering it,OCCLUSION,lift the cloth off the wrap,VISIBLE,medium,,,,,,,,
IC-03,redo,UNDETERMINABLE,Is his pair of shoes visible,many shoes none marked,INSUFFICIENT_CONTEXT,he stands in one pair,VISIBLE,many male shoes but no context,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0286 copy.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0286.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",shoes,his pair of shoes,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Class,Count,,,,,,,,,,,,,,,
GD,20,,,,,,,,,,,,,,,
OC,16,,,,,,,,,,,,,,,
OF,15,,,,,,,,,,,,,,,
LD,13,,,,,,,,,,,,,,,
NV,10,,,,,,,,,,,,,,,
AV,7,,,,,,,,,,,,,,,
IC,7,,,,,,,,,,,,,,,
MA,7,,,,,,,,,,,,,,,
Total,95,,,,,,,,,,,,,,,
