id,Status,base_label,base_question,base_setup,category,flip_change,flip_label,hardness,indoor_outdoor,pic_base,pic_flip,gpt_output_base,gpt_output_flip,location,target,gpt_score,gpt_base_json,gpt_flip_json
OF-01,Done,NOT_VISIBLE,Is the menu board visible,board on the side,OUT_OF_FRAME,tilt sideways to include board,VISIBLE,reflections in glass doors,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0616.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0617.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.76}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",cafe exterior,menu board,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-02,Done,NOT_VISIBLE,can you see the metrocard reader,reader is on the side out of frame,OUT_OF_FRAME,bring reader into frame,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0620.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0621.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}",subway entrance,metrocard reader,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-03,Done,NOT_VISIBLE,is the bike visible,camera faces dorm doorway; rack is to the side off-frame,OUT_OF_FRAME,pan left to include rack,VISIBLE,medium,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0389.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0390.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}",outside dorm entrance,bike rack,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-04,Done,NOT_VISIBLE,Is the phone charger visible,charger on side of table partiall hidden,OUT_OF_FRAME,reframe to include it,VISIBLE,visible cables elsewhere confuse,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0265.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0266.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",living room,charger,,"{""label"":""NOT_VISIBLE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}"
OF-05,Done,NOT_VISIBLE,Is the mug visible,mug just right of frame edge,OUT_OF_FRAME,nudge mug 5 cm into frame,VISIBLE,other mugs in frame as lures,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0263.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0264.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",kitchen counter,mug,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OF-06,Done,NOT_VISIBLE,What colour is the horse,horse not in frame,OUT_OF_FRAME,horse in frame,VISIBLE,similar background colors,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0403.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0404.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,horse,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}"
OF-07,Done,NOT_VISIBLE,Is the printer visible,printer to the side,OUT_OF_FRAME,rotate to see it,VISIBLE,printer troubles' sign,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0437.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0438.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",office doorway,printer,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OF-08,Done,NOT_VISIBLE,Is the pool table visible,pool table out of frame,OUT_OF_FRAME,move rack slightly aside,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0445.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0446.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",lounge,pool table,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-09,Done,NOT_VISIBLE,Is the 8 ball visible,the table is in frame but the 8 ball is not present anywhere in the photo,OUT_OF_FRAME,add the 8 ball into the frame so it’s clearly visible,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0442.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0444.jpeg',"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",lounge,8 ball,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-10,Done,NOT_VISIBLE,Is the cue tip visible,cue partially cut by frame edge,OUT_OF_FRAME,shift frame right,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0440.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0441.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",lounge,cue tip,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.99}"
OF-11,Done,UNDETERMINABLE_FROM_EVIDENCE,Can he see the aisle sign from here?,Aisle sign is high above and partially cut by viewing angle.,OUT_OF_FRAME,He looks up,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0630.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0631.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}","{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}",store,aisle sign,,"{""label"":""UNDERTEMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
OF-12,Done,NOT_VISIBLE,Can he see the bananas?,He is turned away; bananas are behind him.,OUT_OF_FRAME,Flip would have him face the bananas.,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0636.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0637.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.97}","{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.97}",store,bananas,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OF-13,Done,NOT_VISIBLE,is the laundry basket visible,wide shot of room includes machines only,OUT_OF_FRAME,reframe to include it,VISIBLE,easy,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0673.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0674.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",laundry room,laundry basket,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OF-14,Done,NOT_VISIBLE,is the ac unit visible,camera framed on skyline; unit sits below parapet,OUT_OF_FRAME,raise angle to include parapet top,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0663.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0664.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",dorm room,AC unit,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
OF-15,Done,NOT_VISIBLE,Is the bin visible,camera faces recycling room; bin around corner,OUT_OF_FRAME,pan left to include chute door,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0667.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0668.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",dorm hallway,bin,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
