ID,Status,base_setup,base_question,flip_question,flip_change,pic_base,pic_flip,indoor_outdoor,id,internvl3-8b_I0q0_json,internvl3-8b_I0q1_json,internvl3-8b_I1q0_json,internvl3-8b_I1q1_json
LD-11,Done,Mirror selfie in dark.,Is the person’s face clearly visible in this photo?,Is the person’s face not clearly visible in this photo?,Turn light on,./Images/IMG_1109.jpeg,./Images/IMG_1110.jpeg,indoor,LD-11,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
LD-12,Done,Very dark room.,Is the text on the paper clearly readable in this photo?,Is the text on the paper unreadable in this photo?,Increase brightness,./Images/IMG_1128.jpeg,./Images/IMG_1129.jpeg,indoor,LD-12,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
LD-13,Done,Clock glare hides hands.,Is the time on the clock clearly readable in this photo?,Is the clock time unreadable in this photo (glare/angle)?,move closer so less glare,./Images/IMG_0418.jpeg,./Images/IMG_0420.jpeg,outdoor,LD-13,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
MA-01,Done,Gesture unclear.,Are they clearly greeting each other (clear greeting gesture)?,Are they clearly not greeting each other (no greeting happening)?,Capture them both with clear smiles directed at each other,./Images/IMG_0859.jpeg,./Images/IMG_0853.jpeg,indoor,MA-01,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}"
MA-02,Done,Arms hidden; intention unclear.,Are they clearly hugging each other?,Are they clearly not hugging each other?,"Capture handshake, wave, or visible greeting gesture",./Images/IMG_0860.jpeg,./Images/IMG_0861.jpeg,indoor,MA-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
MA-03,Done,Motion ambiguous.,Is she clearly giving him the cup (handing it over)?,Is she clearly not giving him the cup?,Show her giving him a cup.,./Images/IMG_0864.jpeg,./Images/IMG_0874.jpeg,indoor,MA-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
MA-04,Done,Posture ambiguous.,Is she clearly helping him carry the chair?,Is she clearly not helping him carry the chair?,Capture moment where person A is clearly extending the cup toward person B’s hand,./Images/IMG_0877.jpeg,./Images/IMG_0879.jpeg,indoor,MA-04,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.9}"
MA-05,Done,Gaze unclear.,Is he clearly looking at her phone?,Is he clearly not looking at her phone?,Capture both people visibly holding the chair together from each side,./Images/IMG_0883.jpeg,./Images/IMG_0886.jpeg,indoor,MA-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
MA-06,Done,Gaze misaligned.,Is he clearly looking at what she is pointing to?,Is he clearly not looking at what she is pointing to?,Capture person B leaning in with eyes obviously aimed at the phone screen,./Images/IMG_0888.jpeg,./Images/IMG_0893.jpeg,indoor,MA-06,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
MA-07,Done,Card not shown.,Is the gift card value clearly visible in this photo?,Is the gift card value not visible in this photo?,Capture person B with head and eyes clearly aligned toward the pointed-at object,./Images/IMG_0280.jpeg,./Images/IMG_0281.jpeg,indoor,MA-07,"{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-01,Done,iPad locked; no hint visible.,Is the device unlock PIN visible anywhere in this photo?,Is there no visible clue to the device unlock PIN in this photo?,show corner with money value,./Images/IMG_0947.jpeg,./Images/IMG_0948.jpeg,indoor,NV-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-02,Done,Drive only visible.,Are the files on the drive visible anywhere in this photo (screen/label/list)?,Are the drive contents not visible anywhere in this photo?,place a small sticky note next to the phone with the 4-digit PIN clearly written so it is readable in the frame,./Images/IMG_0278.jpeg,./Images/IMG_0279.jpeg,indoor,NV-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-03,Done,No note shown.,Is the wifi password visible anywhere in this photo (written or on a screen)?,Is the wifi password not visible anywhere in this photo?,show nearby screen with file list,./Images/IMG_0289.jpeg,./Images/IMG_0290.jpeg,indoor,NV-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-04,Done,Bottle unlabelled.,Is the drink flavour visible in this photo (label/menu/text)?,Is the drink flavour not visible in this photo?,add note with password,./Images/IMG_0439.jpeg,./Images/IMG_0439 (1).jpeg,indoor,NV-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-05,Done,Flavour not inferable.,Is the juice flavour visible in this photo (label/menu/text)?,Is the juice flavour not visible in this photo?,place a visible label “Orange” on the cup,./Images/IMG_0632.jpeg,./Images/IMG_0633.jpeg,indoor,NV-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
NV-06,Done,Friends talking,Are the friends clearly smiling at each other?,Are the friends clearly not smiling at each other?,Smile at each other,./Images/IMG_0847.jpeg,./Images/IMG_0850.jpeg,indoor,NV-06,"{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-07,Done,No visible indicators.,Is the outside temperature visible in this photo (display/app/sign)?,Is the outside temperature not visible anywhere in this photo?,Include a phone weather screen or digital temperature display in frame.,./Images/IMG_1117.JPG,./Images/IMG_1118.JPG,outdoor,NV-07,"{""label"":""INHERENTLY_NONVISUAL"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
NV-08,Done,No track info visible.,Is the song title/track info visible in this photo (screen/now playing)?,Is the song title/track info not visible in this photo?,Flip by including the “Now Playing” screen (phone/Spotify/YouTube) showing the song title and artist.,./Images/IMG_1107.jpeg,./Images/IMG_1108.jpeg,indoor,NV-08,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
NV-09,Done,Behind fridge items.,Is the spice bottle clearly visible in this photo?,Is the spice bottle not visible in this photo?,Move items aside,./Images/IMG_0258.jpeg,./Images/IMG_0259.jpeg,indoor,NV-09,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
NV-10,Done,Knife under utensils.,Is the kitchen knife clearly visible in this photo?,Is the kitchen knife not visible in this photo?,add lock,./Images/IMG_0275.jpeg,./Images/IMG_0276.jpeg,indoor,NV-10,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
NV-11,Done,No lock shown.,Is the locker combination visible anywhere in this photo?,Is the locker combination not visible anywhere in this photo?,tape a clear paper label next to the lock with the full combination (for example “34-18-09”) written large enough to read in the image,./Images/IMG_0694.jpeg,./Images/IMG_0693.jpeg,indoor,NV-11,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-01,Done,Hidden behind items.,Is the honey bottle clearly visible in this photo?,Is the honey bottle not visible in this photo?,slide box 10 cm so bottle peeks out,./Images/IMG_0272.jpeg,./Images/IMG_0273.jpeg,indoor,OC-01,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-02,Done,Under cushion.,Is the remote clearly visible in this photo?,Is the remote not visible in this photo?,expose part of knife,./Images/IMG_0260.jpeg,./Images/IMG_0262.jpeg,indoor,OC-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-03,Done,Covered by papers.,Is the passport clearly visible in the drawer in this photo?,Is the passport not visible in the drawer in this photo?,move box to the side,./Images/IMG_0282.jpeg,./Images/IMG_0283.jpeg,indoor,OC-03,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-04,Done,Top blocked by trees.,Is the top of the arch clearly visible in this photo?,Is the top of the arch not visible in this photo?,lift cushion so 30 percent shows,./Images/IMG_0391.jpeg,./Images/IMG_0392.jpeg,indoor,OC-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-05,Done,Covered by man and belongings.,Is the chessboard clearly visible in this photo?,Is the chessboard not visible in this photo?,slide the papers to expose the passport ,./Images/IMG_0414.jpeg,./Images/IMG_0415.jpeg,indoor,OC-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-06,Done,Speaker behind chair.,Is the music source (speaker/device) clearly visible in this photo?,Is the music source not visible in this photo?,move forward so tree leaves are less blocking,./Images/IMG_0433.jpeg,./Images/IMG_0434.jpeg,outdoor,OC-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-07,Done,Box angled away.,Is the product inside the box clearly visible through the plastic in this photo?,Is the product not visible through the plastic in this photo?,change angle and position of camera,./Images/IMG_0627.jpeg,./Images/IMG_0628.jpeg,outdoor,OC-07,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-08,Done,Bag blocking shelf.,Is the almond milk container clearly visible in this photo?,Is the almond milk container not visible in this photo?,rotate camera,./Images/IMG_0929.jpeg,./Images/IMG_0930.jpeg,indoor,OC-08,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-09,Done,Box closed.,Is the inside of the box visible in this photo (box open with contents seen)?,Is the inside of the box not visible in this photo?,Open box.,./Images/IMG_0268.jpeg,./Images/IMG_0269.jpeg,indoor,OC-09,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-10,Done,In mirrored cupboard.,Is the toothbrush clearly visible in this photo?,Is the toothbrush not visible in this photo?,open cupboard,./Images/IMG_0665.jpeg,./Images/IMG_0666.jpeg,indoor,OC-10,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-11,Done,Poster taped across plaque.,Is the room number clearly visible in this photo?,Is the room number not visible in this photo?,open the box to show object,./Images/IMG_0670.jpeg,./Images/IMG_0669.jpeg,indoor,OC-11,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-12,Done,Covered,Is the microwave clearly visible in this photo?,Is the microwave not visible in this photo?,Move bag aside,./Images/IMG_0678.jpeg,./Images/IMG_0679.jpeg,indoor,OC-12,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-13,Done,Food container covered.,Is the food container clearly visible in the closet in this photo?,Is the food container not visible in the closet in this photo?,Uncover.,./Images/IMG_0680.jpeg,./Images/IMG_0681.jpeg,indoor,OC-13,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-14,Done,Behind coats.,Is the jump rope clearly visible in this photo?,Is the jump rope not visible in this photo?,swing the door halfway closed so the cabinet is visible beside the door edge,./Images/IMG_0939.jpeg,./Images/IMG_0940.jpeg,indoor,OC-14,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-15,Done,Drawer cluttered; item hidden.,Is the laptop clearly visible inside the bag in this photo (bag open enough to see it)?,Is the laptop not visible inside the bag in this photo?,move bag ,./Images/IMG_0284.jpeg,./Images/IMG_0285.jpeg,indoor,OC-15,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-16,Done,Band under mat,Is the resistance band clearly visible in this photo?,Is the resistance band not visible in this photo?,move mat,./Images/IMG_0941.jpeg,./Images/IMG_0942.jpeg,indoor,OC-16,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-17,Done,Bands turned upside down,Can you clearly see the resistance of the bands?,Can you clearly not see the resistance of the bands?,Flip the bands so you see the labels,./Images/IMG_0943.jpeg,./Images/IMG_0944.jpeg,indoor,OC-17,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-18,Done,Board out of frame.,Is the menu board clearly visible in this photo?,Is the menu board not visible in this photo?,Pan,./Images/IMG_1121.jpeg,./Images/IMG_1122.jpeg,indoor,OC-18,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OC-19,Done,Keys covered.,Are the keys clearly visible on the table in this photo?,Are the keys not visible on the table in this photo?,Uncover keys.,./Images/IMG_1130.jpeg,./Images/IMG_1131.jpeg,outdoor,OC-19,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OC-20,Done,Bike partly covered by car.,Is the bike clearly visible in this photo?,Is the bike not visible in this photo?,Pan to show bike,./Images/IMG_0389.jpeg,./Images/IMG_0390.jpeg,indoor,OC-20,"{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}"
OF-01,Done,Charger to the side,Is the phone charger clearly visible in this photo?,Is the phone charger not visible in this photo?,,./Images/IMG_0265.jpeg,./Images/IMG_0266.jpeg,indoor,OF-01,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-02,Done,Partly hidden.,Is the mug clearly visible in this photo?,Is the mug not visible in this photo?,bring reader into frame,./Images/IMG_0263.jpeg,./Images/IMG_0264.jpeg,indoor,OF-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}"
OF-03,Done,Horse not in frame.,Is the horse visible in this photo?,Is the horse not visible in this photo?,pan left to include,./Images/IMG_0403.jpeg,./Images/IMG_0404.jpeg,outdoor,OF-03,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
OF-04,Done,Printer not in frame.,Is the printer clearly visible in this photo?,Is the printer not visible in this photo?,reframe to include it,./Images/IMG_0437.jpeg,./Images/IMG_0438.jpeg,indoor,OF-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-05,Done,Pool table off to the side.,Is the pool table clearly visible in this photo?,Is the pool table not visible in this photo?,,./Images/IMG_0445.jpeg,./Images/IMG_0446.jpeg,indoor,OF-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-06,Done,Out of frame.,Is the turnstile payment screen visible?,Is the turnstile payment screen not visible?,pan camera to the right,./Images/IMG_0620.jpeg,./Images/IMG_0621.jpeg,outdoor,OF-06,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
OF-07,Done,Cue tip not present.,Is the cue tip clearly visible in this photo?,Is the cue tip not visible in this photo?,rotate to see it,./Images/IMG_0440.jpeg,./Images/IMG_0441.jpeg,indoor,OF-07,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.95}"
